time	1-SP	1-T	2-T	2-SP
2022-01-26T06:50:32.897Z	609	606	554	555
2022-01-26T06:50:52.897Z	662	664	581	582
2022-01-26T06:51:12.898Z	713	715	608	609
2022-01-26T06:51:32.899Z	761	763	637	636
2022-01-26T06:51:52.899Z	807	809	664	662
2022-01-26T06:52:12.900Z	848	850	689	688
2022-01-26T06:52:32.900Z	886	887	715	713
2022-01-26T06:52:52.900Z	921	920	739	738
2022-01-26T06:53:12.902Z	948	947	763	762
2022-01-26T06:53:32.903Z	970	969	786	787
2022-01-26T06:53:52.903Z	986	985	808	809
2022-01-26T06:54:12.905Z	996	996	829	830
2022-01-26T06:54:32.906Z	1000	1000	850	850
2022-01-26T06:54:52.907Z	998	998	869	870
2022-01-26T06:55:12.908Z	990	989	888	888
2022-01-26T06:55:32.909Z	976	975	905	904
2022-01-26T06:55:52.911Z	956	955	921	920
2022-01-26T06:56:12.911Z	931	930	935	934
2022-01-26T06:56:32.912Z	900	898	948	947
2022-01-26T06:56:52.913Z	861	863	960	959
2022-01-26T06:57:12.914Z	821	823	970	969
2022-01-26T06:57:32.915Z	777	779	978	979
2022-01-26T06:57:52.916Z	729	731	986	986
2022-01-26T06:58:12.916Z	679	681	991	992
2022-01-26T06:58:32.917Z	627	629	996	996
2022-01-26T06:58:52.917Z	573	570	999	999
2022-01-26T06:59:12.918Z	518	515	1000	1000
2022-01-26T06:59:32.919Z	463	460	1000	1000
2022-01-26T06:59:52.919Z	408	406	998	998
2022-01-26T07:00:12.919Z	355	352	994	995
2022-01-26T07:00:32.919Z	303	301	989	990
2022-01-26T07:00:52.919Z	249	251	983	983
2022-01-26T07:01:12.920Z	203	205	975	975
2022-01-26T07:01:32.919Z	161	163	966	965
2022-01-26T07:01:52.922Z	122	124	955	955
2022-01-26T07:02:12.922Z	89	90	943	943
2022-01-26T07:02:32.922Z	60	61	930	929
2022-01-26T07:02:52.927Z	35	36	914	915
2022-01-26T07:03:12.933Z	19	18	898	898
2022-01-26T07:03:32.936Z	6	6	881	881
2022-01-26T07:03:52.939Z	1	1	862	861
2022-01-26T07:04:12.950Z	1	1	842	843
2022-01-26T07:04:32.958Z	7	8	823	822
2022-01-26T07:04:52.961Z	20	20	800	799
2022-01-26T07:05:12.962Z	39	38	777	778
2022-01-26T07:05:32.966Z	62	63	753	754
2022-01-26T07:05:52.972Z	92	91	730	729
2022-01-26T07:06:12.984Z	128	126	704	706
2022-01-26T07:06:32.993Z	168	166	678	680
2022-01-26T07:06:53.001Z	208	210	652	653
2022-01-26T07:07:13.008Z	256	258	627	626
2022-01-26T07:07:33.021Z	307	305	599	598
2022-01-26T07:07:53.021Z	361	358	571	572
2022-01-26T07:08:13.021Z	414	412	544	543
2022-01-26T07:08:33.022Z	469	467	516	515
2022-01-26T07:08:53.022Z	524	522	489	487
2022-01-26T07:09:13.023Z	579	576	461	460
2022-01-26T07:09:33.023Z	633	635	434	433
2022-01-26T07:09:53.024Z	685	687	407	405
2022-01-26T07:10:13.025Z	735	737	377	379
2022-01-26T07:10:33.026Z	782	784	351	352
2022-01-26T07:10:53.027Z	826	828	325	326
2022-01-26T07:11:13.028Z	869	867	299	300
