time	1-SP	1-T	2-T	2-SP
2021-04-28T06:11:15.941Z	607	610	556	554
2021-04-28T06:11:35.943Z	662	660	581	583
2021-04-28T06:11:55.946Z	714	712	609	610
2021-04-28T06:12:15.957Z	763	761	636	637
2021-04-28T06:12:35.967Z	806	808	663	662
2021-04-28T06:12:55.980Z	849	851	690	689
2021-04-28T06:13:15.985Z	887	886	714	715
2021-04-28T06:13:35.994Z	921	919	739	738
2021-04-28T06:13:55.997Z	946	948	764	762
2021-04-28T06:14:15.999Z	969	970	785	786
2021-04-28T06:14:36.011Z	986	985	808	809
2021-04-28T06:14:56.015Z	995	996	830	829
2021-04-28T06:15:16.023Z	1000	1000	851	850
2021-04-28T06:15:36.034Z	998	998	869	870
2021-04-28T06:15:56.043Z	989	990	888	887
2021-04-28T06:16:16.044Z	976	975	905	904
2021-04-28T06:16:36.048Z	955	956	920	921
2021-04-28T06:16:56.057Z	929	930	935	935
2021-04-28T06:17:16.070Z	900	898	948	947
2021-04-28T06:17:36.076Z	863	861	959	959
2021-04-28T06:17:56.078Z	822	824	969	970
2021-04-28T06:18:16.086Z	776	778	978	978
2021-04-28T06:18:36.087Z	732	730	986	986
2021-04-28T06:18:56.096Z	680	678	991	992
2021-04-28T06:19:16.108Z	626	628	996	996
2021-04-28T06:19:36.123Z	570	573	999	999
2021-04-28T06:19:56.129Z	519	516	1000	1000
2021-04-28T06:20:16.132Z	461	459	1000	1000
2021-04-28T06:20:36.132Z	405	408	998	998
2021-04-28T06:20:56.146Z	350	352	994	995
2021-04-28T06:21:16.147Z	302	299	989	990
2021-04-28T06:21:36.161Z	251	253	983	983
2021-04-28T06:21:56.169Z	203	205	975	975
2021-04-28T06:22:16.175Z	163	161	966	966
2021-04-28T06:22:36.183Z	123	121	955	955
2021-04-28T06:22:56.189Z	88	89	943	942
2021-04-28T06:23:16.192Z	59	60	929	930
2021-04-28T06:24:42.896Z	607	609	555	554
2021-04-28T06:25:02.908Z	662	659	581	582
2021-04-28T06:25:22.913Z	714	712	609	610
2021-04-28T06:25:42.915Z	764	762	636	635
2021-04-28T06:26:02.918Z	807	809	664	662
2021-04-28T06:26:22.925Z	849	851	688	689
2021-04-28T06:26:42.932Z	888	886	714	715
2021-04-28T06:27:43.257Z	607	609	555	554
2021-04-28T06:28:03.258Z	662	659	581	582
2021-04-28T06:28:23.269Z	714	712	609	610
2021-04-28T06:28:43.281Z	760	762	637	635
2021-04-28T06:29:41.325Z	607	609	555	554
2021-04-28T06:30:01.335Z	662	659	581	582
2021-04-28T06:30:21.350Z	714	712	609	610
2021-04-28T06:30:41.363Z	760	762	637	635
2021-04-28T06:31:30.191Z	607	610	556	554
2021-04-28T06:31:50.206Z	662	660	581	583
2021-04-28T06:32:10.211Z	715	713	609	608
2021-04-28T06:32:30.217Z	761	763	637	636
2021-04-28T06:32:50.228Z	808	805	662	663
2021-04-28T06:33:10.237Z	850	849	689	690
2021-04-28T06:33:30.238Z	886	887	715	714
2021-04-28T06:33:50.243Z	919	921	738	739
2021-04-28T06:34:10.249Z	948	947	763	764
2021-04-28T06:34:30.264Z	968	969	787	785
2021-04-28T06:34:50.273Z	985	986	807	808
2021-04-28T06:35:10.284Z	996	996	829	830
2021-04-28T06:35:30.295Z	1000	1000	850	849
2021-04-28T06:35:50.306Z	998	998	870	869
2021-04-28T06:36:10.312Z	990	989	887	888
2021-04-28T06:36:30.322Z	975	976	905	905
2021-04-28T06:36:50.324Z	956	955	921	920
2021-04-28T06:37:10.337Z	930	929	934	935
2021-04-28T06:37:30.342Z	898	900	948	948
2021-04-28T06:37:50.355Z	865	863	960	959
2021-04-28T06:38:10.362Z	823	821	970	970
2021-04-28T06:38:30.365Z	777	780	978	979
2021-04-28T06:38:50.372Z	728	730	986	986
2021-04-28T06:39:10.376Z	681	678	992	992
2021-04-28T06:39:30.382Z	627	629	996	996
2021-04-28T06:39:50.394Z	570	573	999	999
2021-04-28T06:40:10.402Z	519	516	1000	1000
2021-04-28T06:40:30.413Z	462	459	1000	1000
2021-04-28T06:40:50.427Z	405	408	998	998
2021-04-28T06:41:10.428Z	355	352	994	995
2021-04-28T06:41:30.431Z	301	299	990	989
2021-04-28T06:41:50.441Z	250	252	983	983
2021-04-28T06:42:10.453Z	202	204	975	975
2021-04-28T06:42:30.462Z	162	160	965	966
2021-04-28T06:43:19.151Z	607	609	556	554
2021-04-28T06:43:39.167Z	662	659	581	582
2021-04-28T06:43:59.180Z	715	713	609	608
2021-04-28T06:44:19.188Z	761	763	637	636
2021-04-28T06:44:39.201Z	807	810	662	663
2021-04-28T06:44:59.202Z	850	848	688	690
2021-04-28T06:45:19.201Z	885	887	715	713
2021-04-28T06:45:39.210Z	919	921	738	739
2021-04-28T06:45:59.213Z	948	946	762	764
2021-04-28T06:46:19.223Z	970	969	786	785
2021-04-28T06:46:39.222Z	985	986	809	808
2021-04-28T06:46:59.237Z	996	995	829	830
2021-04-28T06:47:19.242Z	1000	1000	850	851
2021-04-28T06:47:39.244Z	998	998	870	869
2021-04-28T06:47:59.244Z	990	989	887	888
2021-04-28T06:48:19.256Z	975	976	904	905
2021-04-28T06:48:39.268Z	954	955	920	920
2021-04-28T06:48:59.270Z	930	929	935	935
