time	1-SP	1-T	2-SP	2-T
2021-05-17T06:58:42.028Z	606	609	554	555
2021-05-17T06:59:02.041Z	661	664	582	581
2021-05-17T06:59:22.050Z	714	712	610	609
2021-05-17T06:59:42.063Z	764	762	635	636
2021-05-17T07:00:02.077Z	806	808	662	664
2021-05-17T07:00:22.082Z	849	851	689	688
2021-05-17T07:00:42.089Z	887	886	715	714
2021-05-17T07:01:02.091Z	921	920	738	739
2021-05-17T07:01:22.093Z	947	948	763	764
2021-05-17T07:01:42.096Z	969	968	787	785
2021-05-17T07:02:02.104Z	986	985	809	808
2021-05-17T07:02:22.108Z	996	996	829	830
2021-05-17T07:03:25.302Z	607	610	554	556
2021-05-17T07:03:45.314Z	662	660	583	581
2021-05-17T07:04:05.320Z	715	713	608	609
2021-05-17T07:04:25.324Z	760	763	636	637
2021-05-17T07:04:45.327Z	807	809	663	662
2021-05-17T07:05:05.342Z	850	848	690	688
2021-05-17T07:05:25.354Z	885	887	713	715
2021-05-17T07:05:45.362Z	919	921	739	738
2021-05-17T07:06:05.372Z	948	946	764	762
2021-05-17T07:06:25.373Z	970	969	785	786
2021-05-17T07:06:45.383Z	985	986	808	809
2021-05-17T07:07:05.385Z	996	995	830	829
2021-05-17T07:07:25.396Z	1000	1000	851	850
2021-05-17T07:07:45.409Z	998	998	869	870
2021-05-17T07:08:05.416Z	990	990	887	888
2021-05-17T07:08:25.429Z	976	975	905	904
2021-05-17T07:08:45.440Z	955	956	921	920
2021-05-17T07:09:05.456Z	929	930	934	935
2021-05-17T07:09:25.462Z	900	898	947	948
2021-05-17T07:09:45.472Z	863	862	959	960
2021-05-17T07:10:39.196Z	611	608	553	555
2021-05-17T07:10:59.205Z	660	663	582	583
2021-05-17T07:12:53.369Z	610	608	553	555
2021-05-17T07:13:13.379Z	660	662	581	583
2021-05-17T07:13:33.383Z	712	715	609	608
2021-05-17T07:13:53.383Z	762	760	637	635
2021-05-17T07:14:13.398Z	809	807	664	662
2021-05-17T07:14:33.404Z	851	849	688	689
2021-05-17T07:14:53.412Z	886	888	714	715
2021-05-17T07:15:13.427Z	920	918	739	738
2021-05-17T07:16:29.138Z	607	609	554	555
2021-05-17T07:16:49.150Z	662	659	582	581
2021-05-17T07:17:09.161Z	715	712	610	609
2021-05-17T07:17:29.166Z	760	762	636	637
2021-05-17T07:17:49.170Z	807	809	663	662
2021-05-17T07:18:09.185Z	850	848	690	688
2021-05-17T07:18:29.193Z	885	887	713	714
2021-05-17T07:18:49.201Z	919	920	739	740
2021-05-17T07:19:09.203Z	947	946	763	762
2021-05-17T07:19:29.207Z	970	969	785	786
2021-05-17T07:19:49.219Z	985	986	808	809
2021-05-17T07:20:09.225Z	996	995	830	829
2021-05-17T07:20:29.235Z	1000	1000	851	850
2021-05-17T07:20:49.237Z	998	998	869	870
2021-05-17T07:21:09.244Z	990	989	888	887
2021-05-17T07:21:29.244Z	975	976	905	904
2021-05-17T07:21:49.252Z	954	955	920	920
2021-05-17T07:22:09.266Z	930	929	935	935
2021-05-17T07:22:29.271Z	899	900	948	947
2021-05-17T07:22:49.273Z	861	863	959	959
2021-05-17T07:23:09.275Z	824	822	969	970
