time	1-T	2-T
2021-02-24T07:17:11.519Z	527	513
2021-02-24T07:17:16.519Z	540	520
2021-02-24T07:17:21.519Z	555	528
2021-02-24T07:17:26.519Z	567	534
2021-02-24T07:17:31.519Z	582	542
2021-02-24T07:17:36.519Z	594	548
2021-02-24T07:23:02.705Z	527	514
2021-02-24T07:23:07.704Z	539	520
2021-02-24T07:23:12.708Z	554	528
2021-02-24T07:23:17.725Z	569	534
2021-02-24T07:23:22.712Z	582	541
2021-02-24T07:23:35.741Z	527	514
2021-02-24T07:23:40.745Z	539	520
2021-02-24T07:23:45.749Z	554	528
2021-02-24T07:23:50.741Z	569	534
2021-02-24T07:23:55.742Z	582	541
2021-02-24T07:24:00.742Z	597	548
2021-02-24T07:25:59.755Z	526	513
2021-02-24T07:26:04.746Z	542	520
2021-02-24T07:26:09.748Z	554	528
2021-02-24T07:26:14.747Z	569	534
2021-02-24T07:26:19.751Z	581	541
2021-02-24T07:26:24.752Z	596	547
2021-02-24T07:26:29.753Z	608	555
2021-02-24T07:26:34.752Z	623	561
2021-02-24T07:26:39.753Z	635	569
2021-02-24T07:26:44.755Z	650	576
2021-02-24T07:26:49.755Z	662	582
2021-02-24T07:26:54.761Z	676	590
2021-02-24T07:27:09.812Z	526	513
2021-02-24T07:27:14.813Z	542	520
2021-02-24T07:27:19.813Z	554	527
2021-02-24T07:27:24.813Z	569	534
2021-02-24T07:27:29.813Z	581	541
2021-02-24T07:27:34.813Z	596	547
2021-02-24T07:27:39.814Z	608	555
2021-02-24T07:27:44.814Z	623	562
2021-02-24T07:27:49.814Z	635	569
2021-02-24T07:27:54.815Z	650	576
2021-02-24T07:27:59.815Z	661	582
2021-02-24T07:28:04.815Z	676	590
2021-02-24T07:28:09.815Z	690	596
2021-02-24T07:28:14.817Z	701	603
2021-02-24T07:28:19.818Z	715	609
2021-02-24T07:28:24.820Z	726	617
2021-02-24T07:28:29.821Z	739	623
2021-02-24T07:28:34.821Z	750	630
2021-02-24T07:28:39.821Z	763	637
2021-02-24T07:28:44.821Z	774	643
2021-02-24T07:28:49.821Z	786	650
2021-02-24T07:28:54.823Z	796	656
2021-02-24T07:28:59.824Z	808	663
2021-02-24T07:29:04.824Z	820	669
2021-02-24T07:29:09.825Z	829	676
2021-02-24T07:29:14.825Z	841	682
2021-02-24T07:29:19.826Z	850	689
2021-02-24T07:29:24.827Z	860	695
2021-02-24T07:29:29.828Z	869	702
