time	1-SP	1-T	2-SP	2-T
2021-05-18T07:05:53.054Z	607	610	554	556
2021-05-18T07:06:13.054Z	662	660	583	581
2021-05-18T07:06:33.055Z	715	712	608	609
2021-05-18T07:06:53.066Z	760	762	636	637
2021-05-18T07:07:13.069Z	807	809	663	662
2021-05-18T07:07:33.082Z	850	848	690	688
2021-05-18T07:07:53.095Z	885	887	713	714
2021-05-18T07:08:13.102Z	919	920	739	740
2021-05-18T07:08:33.117Z	947	946	763	762
2021-05-18T07:08:53.117Z	970	969	785	786
2021-05-18T07:09:13.130Z	985	986	808	809
2021-05-18T07:09:33.132Z	996	996	830	829
2021-05-18T07:09:53.133Z	1000	1000	851	850
2021-05-18T07:10:13.149Z	998	998	869	870
2021-05-18T07:10:33.163Z	990	989	888	888
2021-05-18T07:10:53.177Z	975	976	905	904
2021-05-18T07:11:13.179Z	955	956	920	920
2021-05-18T07:11:33.184Z	931	929	934	935
2021-05-18T07:11:53.197Z	899	897	948	947
2021-05-18T07:12:13.197Z	862	864	960	959
2021-05-18T07:12:33.206Z	820	822	969	970
2021-05-18T07:12:53.211Z	779	777	978	979
2021-05-18T07:13:13.224Z	730	732	986	986
2021-05-18T07:13:33.235Z	678	680	992	992
2021-05-18T07:13:53.240Z	628	626	996	996
2021-05-18T07:14:13.242Z	572	570	999	999
2021-05-18T07:14:33.255Z	516	518	1000	1000
2021-05-18T07:14:53.256Z	459	461	1000	1000
2021-05-18T07:15:13.271Z	407	405	998	998
2021-05-18T07:15:33.273Z	352	354	994	994
2021-05-18T07:15:53.285Z	299	301	990	989
2021-05-18T07:16:13.288Z	252	250	983	983
2021-05-18T07:16:33.301Z	204	202	975	975
2021-05-18T07:16:53.304Z	160	162	965	966
2021-05-18T07:17:13.315Z	124	122	955	955
2021-05-18T07:17:33.318Z	89	88	943	942
2021-05-18T07:17:53.333Z	59	60	929	929
2021-05-18T07:18:13.334Z	35	36	915	914
2021-05-18T07:18:33.338Z	19	18	898	897
2021-05-18T07:18:53.340Z	6	7	880	881
2021-05-18T07:19:13.353Z	1	1	861	862
2021-05-18T07:19:33.358Z	1	1	843	842
2021-05-18T07:19:53.363Z	7	8	822	821
2021-05-18T07:20:13.373Z	20	20	799	800
2021-05-18T07:20:33.385Z	39	38	776	777
2021-05-18T07:20:53.392Z	64	63	754	753
2021-05-18T07:21:13.400Z	92	93	729	728
2021-05-18T07:21:33.403Z	127	129	704	705
2021-05-18T07:21:53.410Z	167	165	678	679
2021-05-18T07:22:13.420Z	212	210	653	652
2021-05-18T07:22:33.429Z	255	257	626	625
2021-05-18T07:22:53.432Z	306	309	598	600
2021-05-18T07:23:13.432Z	360	358	570	571
2021-05-18T07:23:33.447Z	411	414	544	543
2021-05-18T07:23:53.459Z	467	470	516	515
2021-05-18T07:24:13.462Z	524	522	487	489
2021-05-18T07:24:33.477Z	581	578	459	460
2021-05-18T07:24:53.485Z	631	634	433	432
2021-05-18T07:25:13.490Z	685	688	405	404
2021-05-18T07:25:33.504Z	737	735	377	379
2021-05-18T07:25:53.517Z	785	783	352	351
2021-05-18T07:26:13.527Z	826	828	325	324
2021-05-18T07:26:33.535Z	867	869	299	300
2021-05-18T07:26:53.537Z	904	902	273	274
2021-05-18T07:27:13.550Z	932	933	250	249
2021-05-18T07:27:33.558Z	958	959	226	225
2021-05-18T07:27:53.567Z	978	977	203	204
2021-05-18T07:28:13.577Z	991	991	182	181
2021-05-18T07:28:33.581Z	998	999	161	160
2021-05-18T07:28:53.595Z	1000	1000	140	141
2021-05-18T07:29:13.600Z	995	995	121	122
2021-05-18T07:29:33.614Z	983	984	105	104
2021-05-18T07:29:53.619Z	967	966	88	87
2021-05-18T07:30:13.624Z	944	945	72	73
2021-05-18T07:30:33.631Z	915	916	60	59
2021-05-18T07:30:53.645Z	884	882	47	46
2021-05-18T07:31:13.652Z	845	843	36	35
2021-05-18T07:31:33.658Z	802	804	26	26
2021-05-18T07:31:53.662Z	755	757	18	18
2021-05-18T07:32:13.666Z	704	707	11	11
2021-05-18T07:32:33.670Z	656	654	6	6
2021-05-18T07:32:53.672Z	601	599	3	3
2021-05-18T07:33:13.686Z	545	548	0	1
2021-05-18T07:33:33.695Z	489	491	0	0
2021-05-18T07:33:53.697Z	437	435	1	1
2021-05-18T07:34:13.709Z	381	379	4	3
2021-05-18T07:34:33.718Z	327	329	8	8
2021-05-18T07:34:53.724Z	275	277	13	13
2021-05-18T07:35:13.734Z	230	228	20	21
2021-05-18T07:35:33.749Z	184	182	29	29
2021-05-18T07:35:53.753Z	142	144	39	39
2021-05-18T07:36:13.755Z	105	106	50	51
2021-05-18T07:36:33.768Z	75	74	63	64
2021-05-18T07:36:53.770Z	48	47	78	77
2021-05-18T07:37:13.770Z	27	27	94	93
2021-05-18T07:37:33.782Z	11	12	109	110
2021-05-18T07:37:53.790Z	3	3	128	129
2021-05-18T07:38:13.799Z	0	0	147	146
2021-05-18T07:38:33.800Z	3	3	168	167
2021-05-18T07:38:53.804Z	13	13	188	189
2021-05-18T07:39:13.809Z	28	28	210	211
2021-05-18T07:39:33.814Z	49	50	234	233
2021-05-18T07:39:53.827Z	77	75	259	257
2021-05-18T07:40:13.832Z	110	108	282	283
2021-05-18T07:40:33.833Z	144	146	307	309
2021-05-18T07:40:53.846Z	186	188	334	333
2021-05-18T07:41:13.852Z	232	230	361	360
2021-05-18T07:41:33.867Z	282	280	386	387
2021-05-18T07:41:53.871Z	330	332	414	415
2021-05-18T07:42:13.872Z	384	387	442	441
2021-05-18T07:42:33.887Z	440	438	471	469
2021-05-18T07:42:53.888Z	497	495	496	498
2021-05-18T07:43:33.913Z	605	603	553	552
2021-05-18T07:43:53.929Z	660	658	582	580
