time	1-tT	1-T
2022-01-10T14:05:14.350Z	606	609	555	554
2022-01-10T14:05:34.353Z	662	664	581	582
2022-01-10T14:05:54.364Z	714	712	609	610
2022-01-10T14:06:14.363Z	760	762	637	635
2022-01-10T14:06:34.364Z	807	809	661	663
2022-01-10T14:06:54.379Z	850	848	688	689
2022-01-10T14:07:14.388Z	888	887	714	713
2022-01-10T14:07:34.398Z	919	920	740	739
2022-01-10T14:07:54.401Z	947	946	762	763
2022-01-10T14:08:14.414Z	970	969	786	785
2022-01-10T14:08:34.415Z	985	986	809	808
2022-01-10T14:08:54.423Z	996	996	829	830
2022-01-10T14:09:14.428Z	1000	1000	850	851
2022-01-10T14:09:34.429Z	998	998	870	869
2022-01-10T14:09:54.430Z	990	989	887	888
2022-01-10T14:10:14.431Z	975	976	904	905
2022-01-10T14:10:34.437Z	954	956	920	920
2022-01-10T14:10:54.449Z	930	929	935	935
2022-01-10T14:11:14.464Z	899	900	947	948
2022-01-10T14:11:34.474Z	861	863	959	959
2022-01-10T14:11:54.481Z	824	822	970	969
2022-01-10T14:12:14.485Z	778	776	978	979
2022-01-10T14:12:34.490Z	729	731	986	986
2022-01-10T14:12:54.503Z	682	679	992	991
2022-01-10T14:13:14.515Z	627	625	996	996
2022-01-10T14:13:34.528Z	572	574	999	999
2022-01-10T14:13:54.536Z	515	517	1000	1000
2022-01-10T14:14:14.540Z	463	460	1000	1000
2022-01-10T14:14:34.543Z	406	409	998	998
2022-01-10T14:14:54.551Z	351	353	994	994
2022-01-10T14:15:14.557Z	302	300	989	990
2022-01-10T14:15:34.562Z	251	249	983	983
2022-01-10T14:15:54.572Z	203	206	975	975
2022-01-10T14:16:14.580Z	160	162	966	966
2022-01-10T14:16:34.585Z	123	122	955	955
2022-01-10T14:16:54.595Z	88	90	943	942
2022-01-10T14:17:14.604Z	59	60	929	929
2022-01-10T14:17:34.612Z	37	36	914	915
2022-01-10T14:17:54.622Z	18	18	899	898
2022-01-10T14:18:14.635Z	6	7	881	880
2022-01-10T14:18:34.637Z	1	1	862	863
2022-01-10T14:18:54.641Z	1	1	843	842
2022-01-10T14:19:14.654Z	8	7	822	821
2022-01-10T14:19:34.660Z	21	20	799	801
2022-01-10T14:19:54.664Z	38	39	776	777
2022-01-10T14:20:14.673Z	63	62	754	753
2022-01-10T14:20:34.675Z	93	92	729	728
2022-01-10T14:20:54.689Z	126	128	704	705
2022-01-10T14:21:14.697Z	166	168	680	678
2022-01-10T14:21:34.701Z	211	209	653	651
2022-01-10T14:21:54.707Z	259	257	625	627
2022-01-10T14:22:14.717Z	306	308	598	599
2022-01-10T14:22:34.730Z	359	357	572	571
2022-01-10T14:22:54.743Z	415	412	544	542
2022-01-10T14:23:14.747Z	467	469	515	516
2022-01-10T14:23:34.756Z	524	526	489	488
2022-01-10T14:23:54.761Z	581	578	460	459
2022-01-10T14:24:14.772Z	631	634	432	433
2022-01-10T14:24:34.780Z	685	687	404	405
2022-01-10T14:24:54.791Z	737	734	379	378
2022-01-10T14:25:14.805Z	785	783	351	350
2022-01-10T14:25:34.818Z	826	828	324	326
2022-01-10T14:25:54.825Z	867	869	298	299
2022-01-10T14:26:14.829Z	903	902	275	274
2022-01-10T14:26:34.829Z	934	933	250	249
2022-01-10T14:26:54.830Z	957	958	226	227
2022-01-10T14:27:14.838Z	977	978	202	203
2022-01-10T14:27:34.841Z	991	991	182	181
2022-01-10T14:27:54.854Z	999	998	161	160
2022-01-10T14:28:14.859Z	1000	1000	140	141
2022-01-10T14:28:34.870Z	995	995	121	122
2022-01-10T14:28:54.880Z	984	983	103	104
2022-01-10T14:29:14.881Z	967	968	88	88
2022-01-10T14:29:34.887Z	943	945	73	72
2022-01-10T14:29:54.897Z	914	916	59	60
2022-01-10T14:30:14.900Z	883	882	46	47
2022-01-10T14:30:34.909Z	845	843	36	36
2022-01-10T14:30:54.910Z	801	803	26	26
2022-01-10T14:31:14.921Z	754	756	18	18
2022-01-10T14:31:34.925Z	709	706	11	11
2022-01-10T14:31:54.929Z	656	654	6	6
