time	1-SP	1-T	2-T	2-SP
2021-04-27T06:06:40.759Z	608	610	553	555
2021-04-27T06:07:00.764Z	663	660	582	583
2021-04-27T06:07:20.764Z	715	713	610	608
2021-04-27T06:07:40.775Z	761	763	637	636
2021-04-27T06:08:00.782Z	808	806	662	663
2021-04-27T06:08:20.785Z	851	849	689	688
2021-04-27T06:08:40.794Z	886	888	715	714
2021-04-27T06:09:00.801Z	920	921	738	739
2021-04-27T06:09:20.812Z	948	947	763	764
2021-04-27T06:09:40.812Z	968	969	787	786
2021-04-27T06:10:00.813Z	985	986	809	808
2021-04-27T06:10:20.815Z	996	996	829	830
2021-04-27T06:10:40.825Z	1000	1000	850	849
2021-04-27T06:11:00.829Z	998	998	870	869
2021-04-27T06:11:20.844Z	990	989	887	888
2021-04-27T06:11:40.848Z	975	976	905	905
2021-04-27T06:12:00.856Z	956	955	921	920
2021-04-27T06:12:20.858Z	930	929	934	935
2021-04-27T06:12:40.864Z	898	899	948	948
2021-04-27T06:13:00.870Z	864	863	960	959
2021-04-27T06:13:20.880Z	823	821	970	970
2021-04-27T06:13:40.893Z	777	779	978	979
2021-04-27T06:14:00.904Z	728	730	986	986
2021-04-27T06:14:20.914Z	680	678	992	992
2021-04-27T06:14:40.928Z	626	629	996	996
2021-04-27T06:15:00.929Z	570	573	999	999
2021-04-27T06:15:20.930Z	518	516	1000	1000
2021-04-27T06:15:40.944Z	461	459	1000	1000
2021-04-27T06:16:00.956Z	405	407	998	998
2021-04-27T06:16:20.961Z	354	352	994	994
2021-04-27T06:16:40.965Z	301	298	990	989
2021-04-27T06:17:00.964Z	250	252	983	983
2021-04-27T06:17:20.979Z	202	204	975	975
2021-04-27T06:17:40.986Z	162	160	965	966
2021-04-27T06:18:00.992Z	122	124	955	955
2021-04-27T06:18:20.994Z	87	89	943	943
2021-04-27T06:18:40.996Z	60	59	929	929
2021-04-27T06:19:01.009Z	36	37	915	914
2021-04-27T06:19:49.059Z	607	609	555	554
2021-04-27T06:20:09.073Z	662	659	581	582
2021-04-27T06:20:29.076Z	715	712	609	610
2021-04-27T06:20:49.084Z	760	762	637	636
2021-04-27T06:21:09.098Z	807	809	662	663
2021-04-27T06:21:29.106Z	850	848	688	690
2021-04-27T06:21:49.119Z	885	887	715	713
2021-04-27T06:22:09.122Z	919	921	738	739
2021-04-27T06:22:29.128Z	948	946	762	764
2021-04-27T06:22:49.141Z	970	969	786	785
2021-04-27T06:23:09.151Z	985	986	809	808
2021-04-27T06:23:29.154Z	996	995	829	830
2021-04-27T06:23:49.157Z	1000	1000	850	849
2021-04-27T06:24:09.167Z	998	998	870	869
2021-04-27T06:24:29.168Z	990	989	887	888
2021-04-27T06:24:49.178Z	975	976	904	905
2021-04-27T06:25:09.180Z	956	955	921	920
2021-04-27T06:25:29.183Z	930	929	934	935
2021-04-27T06:26:15.003Z	607	609	555	554
2021-04-27T06:26:35.016Z	662	659	581	582
2021-04-27T06:26:55.030Z	715	712	609	608
2021-04-27T06:27:15.032Z	760	762	637	636
2021-04-27T06:28:11.055Z	607	609	555	554
2021-04-27T06:28:31.060Z	662	659	581	582
2021-04-27T06:28:51.066Z	715	712	609	608
2021-04-27T06:29:11.073Z	760	763	637	636
2021-04-27T06:29:31.075Z	807	809	662	663
2021-04-27T06:29:51.085Z	850	848	688	690
2021-04-27T06:30:11.098Z	885	887	715	713
2021-04-27T06:30:31.102Z	919	921	738	739
2021-04-27T06:30:51.116Z	948	947	763	764
2021-04-27T06:31:11.120Z	968	969	786	785
2021-04-27T06:31:31.134Z	985	986	807	808
2021-04-27T06:31:51.135Z	996	996	829	830
2021-04-27T06:32:11.149Z	1000	1000	850	849
2021-04-27T06:32:31.161Z	998	998	870	869
2021-04-27T06:32:51.172Z	990	990	887	888
2021-04-27T06:33:11.183Z	975	976	905	904
2021-04-27T06:33:31.192Z	956	955	921	920
2021-04-27T06:33:51.193Z	930	931	934	935
2021-04-27T06:34:11.200Z	898	899	948	948
2021-04-27T06:34:31.213Z	864	862	960	959
2021-04-27T06:34:51.226Z	823	821	969	970
2021-04-27T06:35:11.230Z	777	779	978	979
2021-04-27T06:35:31.245Z	728	731	986	985
2021-04-27T06:35:51.255Z	681	679	992	991
2021-04-27T06:36:11.262Z	628	625	996	996
2021-04-27T06:36:31.269Z	573	570	999	999
2021-04-27T06:36:51.273Z	516	519	1000	1000
2021-04-27T06:37:11.280Z	460	462	1000	1000
2021-04-27T06:37:31.285Z	404	407	998	998
2021-04-27T06:37:51.288Z	354	352	994	994
2021-04-27T06:38:11.292Z	301	299	989	989
2021-04-27T06:38:31.293Z	251	248	983	983
2021-04-27T06:38:51.295Z	203	206	975	975
2021-04-27T06:39:11.302Z	160	162	966	966
2021-04-27T06:39:31.315Z	124	122	955	955
2021-04-27T06:40:17.913Z	607	610	556	554
2021-04-27T06:40:37.914Z	662	660	581	583
2021-04-27T06:40:57.916Z	715	712	609	610
2021-04-27T06:41:38.529Z	607	610	556	554
2021-04-27T06:41:58.532Z	662	659	581	582
2021-04-27T06:42:18.543Z	714	712	609	610
2021-04-27T06:42:38.557Z	760	762	637	635
2021-04-27T06:42:58.559Z	807	809	664	662
2021-04-27T06:43:57.459Z	606	608	555	554
2021-04-27T06:44:17.473Z	660	663	583	582
2021-04-27T06:44:37.488Z	713	715	608	609
2021-04-27T06:44:57.497Z	762	760	635	637
2021-04-27T06:45:17.508Z	808	806	662	664
2021-04-27T06:45:37.514Z	851	849	689	688
2021-04-27T06:45:57.526Z	885	887	714	713
2021-04-27T06:46:17.532Z	919	920	740	738
2021-04-27T06:46:37.543Z	947	948	764	763
2021-04-27T06:46:57.547Z	969	970	785	786
2021-04-27T06:47:17.552Z	986	985	808	809
2021-04-27T06:47:37.563Z	996	996	830	831
2021-04-27T06:47:57.565Z	1000	1000	850	849
2021-04-27T06:48:17.574Z	998	998	870	869
2021-04-27T06:48:37.576Z	990	989	888	887
2021-04-27T06:48:57.580Z	976	975	904	905
2021-04-27T06:49:17.583Z	955	956	920	921
2021-04-27T06:49:37.594Z	929	930	935	934
2021-04-27T06:49:57.605Z	900	899	948	947
2021-04-27T06:50:17.613Z	864	862	960	959
