time	1-SP	1-T	2-SP	2-T
2021-04-30T06:16:00.401Z	606	609	554	555
2021-04-30T06:16:20.416Z	661	664	582	581
2021-04-30T06:16:40.419Z	714	712	610	609
2021-04-30T06:17:00.432Z	760	762	636	637
2021-04-30T06:17:20.446Z	807	809	663	661
2021-04-30T06:17:40.453Z	850	848	689	688
2021-04-30T06:18:00.464Z	888	886	715	714
2021-04-30T06:18:20.474Z	918	920	738	739
2021-04-30T06:18:40.488Z	947	948	763	764
2021-04-30T06:19:00.502Z	969	970	786	785
2021-04-30T06:19:20.517Z	986	985	809	808
2021-04-30T06:19:40.526Z	996	996	829	830
2021-04-30T06:20:00.533Z	1000	1000	850	851
2021-04-30T06:20:20.536Z	998	998	870	869
2021-04-30T06:20:40.537Z	990	990	888	887
2021-04-30T06:21:00.553Z	975	976	904	905
2021-04-30T06:21:20.553Z	956	955	920	921
2021-04-30T06:21:40.553Z	930	929	935	935
2021-04-30T06:22:00.561Z	898	900	948	947
2021-04-30T06:22:20.563Z	862	863	960	959
2021-04-30T06:22:40.573Z	820	822	969	970
2021-04-30T06:23:00.574Z	779	777	978	979
2021-04-30T06:23:20.584Z	730	728	986	986
2021-04-30T06:23:40.592Z	678	681	992	992
2021-04-30T06:24:00.604Z	624	627	996	996
2021-04-30T06:24:20.606Z	573	571	999	999
2021-04-30T06:25:20.755Z	606	608	554	555
2021-04-30T06:25:40.761Z	660	663	582	583
2021-04-30T06:26:00.775Z	713	715	610	608
2021-04-30T06:26:20.788Z	763	761	637	636
2021-04-30T06:26:40.790Z	810	808	662	663
2021-04-30T06:27:00.796Z	848	850	688	690
2021-04-30T06:27:20.803Z	887	888	714	713
2021-04-30T06:27:40.812Z	920	919	740	738
2021-04-30T06:28:00.817Z	948	947	764	763
2021-04-30T06:28:20.817Z	969	969	786	787
2021-04-30T06:28:40.827Z	985	986	809	807
2021-04-30T06:29:00.835Z	996	996	830	829
2021-04-30T06:29:50.784Z	606	609	554	555
2021-04-30T06:30:10.786Z	661	663	582	581
2021-04-30T06:30:30.796Z	714	711	610	609
2021-04-30T06:30:50.805Z	763	761	637	636
2021-04-30T06:31:10.814Z	809	807	662	663
2021-04-30T06:31:30.824Z	848	850	688	690
2021-04-30T06:31:50.829Z	887	888	714	713
2021-04-30T06:32:10.832Z	920	919	740	738
2021-04-30T06:32:30.839Z	948	947	762	763
2021-04-30T06:32:50.853Z	969	969	786	787
2021-04-30T06:33:10.859Z	985	986	808	809
2021-04-30T06:34:10.657Z	606	608	554	555
2021-04-30T06:34:30.667Z	660	663	582	583
2021-04-30T06:34:50.671Z	713	711	610	608
2021-04-30T06:35:10.682Z	763	761	637	636
2021-04-30T06:35:30.687Z	806	808	662	663
2021-04-30T06:36:14.691Z	606	609	554	555
2021-04-30T06:36:34.698Z	661	664	582	581
2021-04-30T06:37:29.224Z	607	610	554	556
2021-04-30T06:37:49.239Z	662	659	582	581
2021-04-30T06:38:09.242Z	714	712	610	609
2021-04-30T06:38:29.247Z	764	762	635	637
2021-04-30T06:38:49.250Z	807	809	662	664
2021-04-30T06:39:09.250Z	849	848	689	688
2021-04-30T06:39:29.260Z	888	886	715	714
2021-04-30T06:39:49.268Z	918	920	738	739
2021-04-30T06:40:09.274Z	947	948	763	764
2021-04-30T06:40:29.286Z	969	968	786	785
2021-04-30T06:40:49.293Z	986	985	809	808
2021-04-30T06:41:09.294Z	995	996	829	830
2021-04-30T06:41:29.301Z	1000	1000	850	851
2021-04-30T06:41:49.310Z	998	998	870	869
2021-04-30T06:42:49.510Z	606	609	554	555
2021-04-30T06:43:09.517Z	661	663	582	581
2021-04-30T06:43:29.522Z	714	711	610	609
2021-04-30T06:43:49.526Z	764	761	635	636
2021-04-30T06:44:09.527Z	806	808	662	663
2021-04-30T06:44:29.538Z	849	851	689	688
2021-04-30T06:45:12.541Z	607	610	554	556
2021-04-30T06:45:32.548Z	662	664	582	581
2021-04-30T06:45:52.552Z	714	711	610	609
2021-04-30T06:46:12.561Z	764	762	635	636
2021-04-30T06:46:32.563Z	806	808	662	663
2021-04-30T06:46:52.563Z	849	851	689	688
2021-04-30T06:47:46.703Z	606	609	554	555
2021-04-30T06:48:06.715Z	661	664	582	581
2021-04-30T06:48:26.717Z	714	712	610	609
2021-04-30T06:49:43.548Z	607	610	554	556
2021-04-30T06:50:03.559Z	662	664	582	581
2021-04-30T06:50:23.567Z	714	712	610	609
2021-04-30T06:50:43.571Z	764	762	635	636
2021-04-30T06:51:33.385Z	607	610	554	556
2021-04-30T06:52:45.927Z	606	608	554	555
2021-04-30T06:53:05.934Z	660	663	582	583
2021-04-30T06:53:25.936Z	713	711	610	608
2021-04-30T06:53:45.945Z	763	761	637	636
2021-04-30T06:54:05.953Z	805	808	662	663
2021-04-30T06:54:25.961Z	849	850	688	690
2021-04-30T06:54:45.975Z	887	885	715	713
2021-04-30T06:55:57.460Z	606	609	554	555
2021-04-30T06:56:17.466Z	661	664	582	581
2021-04-30T06:56:37.476Z	714	711	610	609
2021-04-30T06:56:57.482Z	764	761	635	636
2021-04-30T06:57:17.492Z	806	808	662	663
2021-04-30T06:57:37.495Z	849	851	689	688
2021-04-30T06:57:57.498Z	887	886	715	714
2021-04-30T06:58:17.502Z	921	919	738	739
2021-04-30T06:58:37.505Z	946	947	762	763
2021-04-30T06:58:57.508Z	969	970	786	787
2021-04-30T06:59:17.508Z	985	986	809	808
2021-04-30T06:59:37.519Z	996	995	830	829
2021-04-30T06:59:57.522Z	1000	1000	851	850
2021-04-30T07:00:17.524Z	998	998	869	870
2021-04-30T07:00:37.530Z	990	990	887	888
2021-04-30T07:00:57.537Z	976	975	905	904
2021-04-30T07:01:17.542Z	955	956	921	920
2021-04-30T07:01:37.552Z	929	930	935	935
2021-04-30T07:01:57.554Z	900	899	947	948
2021-04-30T07:02:17.559Z	863	862	959	959
2021-04-30T07:02:37.572Z	822	824	970	969
2021-04-30T07:02:57.583Z	777	779	978	978
2021-04-30T07:03:17.596Z	732	730	986	986
2021-04-30T07:03:37.599Z	681	678	992	992
2021-04-30T07:03:57.603Z	627	629	996	996
2021-04-30T07:04:17.612Z	571	573	999	999
2021-04-30T07:04:37.621Z	519	517	1000	1000
2021-04-30T07:04:57.632Z	463	460	1000	1000
2021-04-30T07:05:17.647Z	407	404	998	998
2021-04-30T07:05:37.655Z	351	354	994	994
2021-04-30T07:05:57.666Z	298	300	990	989
2021-04-30T07:06:17.674Z	252	250	983	983
2021-04-30T07:06:37.677Z	204	202	975	975
2021-04-30T07:06:57.690Z	161	163	965	966
2021-04-30T07:07:17.697Z	121	123	955	955
2021-04-30T07:07:37.705Z	90	88	943	942
2021-04-30T07:07:57.712Z	60	59	929	929
2021-04-30T07:08:17.718Z	36	37	914	915
2021-04-30T07:08:37.720Z	18	19	898	898
2021-04-30T07:08:57.727Z	6	6	881	880
2021-04-30T07:09:17.731Z	1	1	862	861
2021-04-30T07:09:37.731Z	1	1	842	843
2021-04-30T07:09:57.733Z	8	7	821	822
2021-04-30T07:10:17.744Z	21	20	801	800
2021-04-30T07:10:37.748Z	38	39	778	776
2021-04-30T07:10:57.757Z	63	64	753	755
2021-04-30T07:11:17.772Z	93	91	729	730
2021-04-30T07:11:37.781Z	128	126	703	704
2021-04-30T07:11:57.793Z	168	166	679	678
2021-04-30T07:12:17.799Z	208	210	653	652
2021-04-30T07:12:37.807Z	256	258	626	624
2021-04-30T07:12:57.822Z	307	305	598	599
2021-04-30T07:13:17.829Z	361	358	570	571
2021-04-30T07:13:37.838Z	411	413	544	543
2021-04-30T07:13:57.853Z	467	470	516	515
2021-04-30T07:14:17.854Z	524	521	488	489
2021-04-30T07:14:37.859Z	580	578	459	461
2021-04-30T07:14:57.860Z	636	633	434	432
2021-04-30T07:15:17.868Z	684	687	406	404
2021-04-30T07:15:37.881Z	736	738	378	379
2021-04-30T07:15:57.887Z	784	782	351	352
2021-04-30T07:16:17.902Z	829	827	326	325
2021-04-30T07:16:37.910Z	866	868	300	299
2021-04-30T07:16:57.917Z	903	904	274	275
2021-04-30T07:17:17.928Z	934	932	249	250
2021-04-30T07:17:37.938Z	959	958	227	226
2021-04-30T07:17:57.944Z	977	978	204	203
2021-04-30T07:18:17.951Z	991	992	181	182
2021-04-30T07:18:37.961Z	999	998	160	161
2021-04-30T07:18:57.965Z	1000	1000	141	140
2021-04-30T07:19:17.975Z	995	995	122	121
2021-04-30T07:19:37.975Z	984	983	104	105
2021-04-30T07:19:57.989Z	967	967	88	88
2021-04-30T07:20:17.992Z	943	944	72	73
2021-04-30T07:20:37.993Z	917	916	59	59
2021-04-30T07:20:57.997Z	883	882	47	46
2021-04-30T07:21:18.012Z	845	843	36	36
2021-04-30T07:21:38.025Z	801	804	26	26
2021-04-30T07:21:58.027Z	754	757	18	18
2021-04-30T07:22:18.043Z	709	706	11	11
2021-04-30T07:22:38.057Z	656	653	6	6
2021-04-30T07:22:58.063Z	601	603	3	3
2021-04-30T07:23:18.071Z	545	547	0	1
2021-04-30T07:23:38.085Z	493	490	0	0
2021-04-30T07:23:58.085Z	436	434	1	1
2021-04-30T07:24:18.095Z	380	383	4	4
2021-04-30T07:24:38.106Z	326	329	8	8
