time	1-SP	1-T	2-SP	2-T
2021-04-29T08:46:23.970Z	607	610	554	556
2021-04-29T08:46:43.970Z	662	660	583	581
2021-04-29T08:47:03.973Z	715	713	608	609
2021-04-29T08:48:48.211Z	607	610	554	553
2021-04-29T08:49:08.220Z	662	660	583	581
2021-04-29T08:49:28.224Z	715	713	608	609
2021-04-29T08:49:48.225Z	761	763	636	637
2021-04-29T08:50:08.241Z	808	806	663	662
2021-04-29T08:50:28.241Z	851	849	690	689
2021-04-29T08:50:48.245Z	886	887	713	715
2021-04-29T08:51:08.255Z	919	921	739	738
2021-04-29T08:51:28.264Z	948	947	764	763
2021-04-29T08:51:48.278Z	968	969	785	786
2021-04-29T08:52:08.283Z	985	986	808	809
2021-04-29T08:52:28.293Z	996	996	830	829
2021-04-29T08:52:48.298Z	1000	1000	849	850
2021-04-29T08:53:08.308Z	998	998	869	870
2021-04-29T08:53:28.311Z	990	989	888	887
2021-04-29T08:53:48.319Z	975	976	905	904
2021-04-29T08:54:08.332Z	956	955	920	921
2021-04-29T08:54:28.337Z	930	929	935	934
2021-04-29T08:54:48.340Z	898	900	948	947
2021-04-29T08:55:08.355Z	861	863	959	959
2021-04-29T08:55:28.368Z	823	821	970	969
2021-04-29T08:55:48.374Z	777	780	979	978
2021-04-29T08:56:08.386Z	728	730	986	986
2021-04-29T08:56:28.400Z	681	678	992	992
2021-04-29T08:56:48.407Z	626	629	996	996
2021-04-29T08:57:08.409Z	571	573	999	999
2021-04-29T08:57:28.419Z	519	516	1000	1000
2021-04-29T08:57:48.426Z	462	459	1000	1000
2021-04-29T08:58:08.434Z	405	408	998	998
2021-04-29T08:58:28.448Z	350	352	995	994
2021-04-29T08:58:48.460Z	301	299	990	989
2021-04-29T08:59:08.476Z	250	253	983	983
2021-04-29T08:59:28.477Z	202	204	975	975
2021-04-29T08:59:48.484Z	162	160	966	965
2021-04-29T09:00:08.495Z	122	124	955	955
2021-04-29T09:00:28.499Z	87	89	942	943
2021-04-29T09:00:48.511Z	60	59	929	929
2021-04-29T09:01:08.522Z	36	35	914	915
2021-04-29T09:01:28.528Z	18	18	897	898
2021-04-29T09:01:48.540Z	7	6	881	880
2021-04-29T09:02:08.542Z	1	0	862	863
2021-04-29T09:02:28.553Z	1	1	842	843
2021-04-29T09:02:48.556Z	8	8	822	821
2021-04-29T09:03:08.571Z	20	21	800	799
2021-04-29T09:03:28.580Z	39	38	776	778
2021-04-29T09:03:48.588Z	64	63	754	753
2021-04-29T09:04:08.600Z	92	93	729	728
2021-04-29T09:04:28.601Z	127	126	704	705
2021-04-29T09:04:48.605Z	168	166	677	679
2021-04-29T09:05:08.611Z	208	210	653	652
2021-04-29T09:05:28.625Z	256	259	625	627
2021-04-29T09:05:48.628Z	308	305	598	599
2021-04-29T09:06:08.638Z	361	358	570	571
2021-04-29T09:06:28.640Z	411	414	544	543
2021-04-29T09:06:48.650Z	468	471	516	517
2021-04-29T09:07:08.655Z	525	523	487	488
2021-04-29T09:07:28.660Z	582	579	461	460
2021-04-29T09:07:48.674Z	632	635	433	431
2021-04-29T09:08:08.685Z	687	684	404	406
2021-04-29T09:08:28.700Z	738	736	379	378
2021-04-29T09:08:48.705Z	783	785	352	350
2021-04-29T09:09:08.713Z	828	830	325	326
2021-04-29T09:09:28.715Z	869	867	298	299
2021-04-29T09:09:48.719Z	902	903	275	274
2021-04-29T09:10:08.728Z	933	934	250	251
2021-04-29T09:10:28.735Z	959	958	225	226
2021-04-29T09:10:48.740Z	978	978	204	203
2021-04-29T09:11:08.745Z	991	991	182	180
2021-04-29T09:11:28.758Z	999	998	160	161
2021-04-29T09:11:48.763Z	1000	1000	140	141
2021-04-29T09:12:08.778Z	995	995	122	121
2021-04-29T09:12:28.777Z	984	983	104	105
2021-04-29T09:12:48.787Z	966	967	87	88
2021-04-29T09:13:08.795Z	945	944	73	73
2021-04-29T09:13:28.807Z	916	915	59	58
2021-04-29T09:13:48.821Z	882	884	46	47
2021-04-29T09:14:08.824Z	843	845	36	36
2021-04-29T09:14:28.826Z	803	801	26	26
2021-04-29T09:14:48.831Z	756	754	18	18
2021-04-29T09:15:08.842Z	705	708	11	11
2021-04-29T09:15:28.848Z	657	654	6	6
2021-04-29T09:15:48.857Z	602	599	3	3
2021-04-29T09:16:08.859Z	545	548	0	1
2021-04-29T09:16:28.872Z	488	491	0	0
2021-04-29T09:16:48.884Z	437	434	1	1
2021-04-29T09:17:08.897Z	381	378	4	4
2021-04-29T09:17:28.897Z	326	328	8	8
2021-04-29T09:17:48.902Z	278	276	13	14
2021-04-29T09:18:08.902Z	229	227	21	20
2021-04-29T09:18:28.907Z	183	185	29	29
2021-04-29T09:18:48.913Z	141	143	39	39
2021-04-29T09:19:08.919Z	107	105	51	51
2021-04-29T09:19:28.934Z	74	75	64	63
2021-04-29T09:19:48.950Z	47	48	77	78
2021-04-29T09:20:08.963Z	27	27	93	94
2021-04-29T09:20:28.978Z	12	11	110	109
2021-04-29T09:20:48.982Z	3	3	129	128
2021-04-29T09:21:08.993Z	0	0	147	148
2021-04-29T09:21:29.004Z	3	4	167	168
2021-04-29T09:21:49.007Z	13	12	189	188
2021-04-29T09:22:09.014Z	29	28	210	211
2021-04-29T09:22:29.016Z	49	50	234	235
2021-04-29T09:22:49.025Z	76	78	258	257
2021-04-29T09:23:09.037Z	109	108	284	282
2021-04-29T09:23:29.051Z	144	146	307	309
2021-04-29T09:23:49.066Z	186	188	334	333
2021-04-29T09:24:09.079Z	233	230	361	360
2021-04-29T09:24:29.091Z	282	280	386	388
2021-04-29T09:24:49.106Z	330	333	414	416
2021-04-29T09:25:09.107Z	385	383	443	441
2021-04-29T09:25:29.108Z	441	439	468	470
2021-04-29T09:25:49.119Z	493	496	497	498
2021-04-29T09:26:09.126Z	550	553	525	524
2021-04-29T09:26:29.132Z	606	604	554	553
2021-04-29T09:26:49.138Z	656	659	580	581
2021-04-29T09:27:09.138Z	710	712	608	609
2021-04-29T09:27:29.151Z	760	758	635	634
2021-04-29T09:27:49.153Z	807	805	660	662
2021-04-29T09:28:09.161Z	846	848	687	688
2021-04-29T09:28:29.166Z	885	884	713	712
