time	1-SP	1-T	2-T	2-SP
2022-01-27T12:04:16.067Z	608	606	554	555
2022-01-27T12:04:36.068Z	661	664	581	582
2022-01-27T12:04:56.068Z	712	715	610	609
2022-01-27T12:05:16.068Z	761	763	637	636
2022-01-27T12:05:36.069Z	806	808	663	662
2022-01-27T12:05:56.069Z	848	850	689	688
2022-01-27T12:06:16.069Z	888	887	714	713
2022-01-27T12:06:36.070Z	921	919	739	738
2022-01-27T12:06:56.071Z	948	947	763	764
2022-01-27T12:07:16.070Z	970	969	786	787
2022-01-27T12:07:36.070Z	986	985	808	809
2022-01-27T12:07:56.071Z	996	995	829	830
2022-01-27T12:08:16.071Z	1000	1000	849	850
2022-01-27T12:08:36.072Z	998	998	869	869
2022-01-27T12:08:56.073Z	990	989	888	887
2022-01-27T12:09:16.074Z	976	975	905	904
2022-01-27T12:09:36.074Z	956	955	921	920
2022-01-27T12:09:56.074Z	929	930	935	934
2022-01-27T12:10:16.076Z	898	899	948	947
2022-01-27T12:10:36.077Z	862	864	959	960
2022-01-27T12:10:56.077Z	822	824	969	970
2022-01-27T12:11:16.077Z	778	780	978	979
2022-01-27T12:11:36.077Z	730	732	986	986
2022-01-27T12:11:56.077Z	680	678	991	992
2022-01-27T12:12:16.077Z	628	625	996	996
2022-01-27T12:12:36.077Z	574	571	999	999
2022-01-27T12:12:56.077Z	519	516	1000	1000
2022-01-27T12:13:16.078Z	464	461	1000	1000
2022-01-27T12:13:36.079Z	409	407	998	998
2022-01-27T12:13:56.079Z	351	353	994	995
2022-01-27T12:14:16.079Z	299	302	990	990
2022-01-27T12:14:36.080Z	250	252	983	983
2022-01-27T12:14:56.080Z	204	206	975	975
2022-01-27T12:15:16.081Z	161	163	966	966
2022-01-27T12:15:36.082Z	123	121	955	955
2022-01-27T12:15:56.082Z	89	88	943	943
2022-01-27T12:16:16.081Z	60	59	929	929
2022-01-27T12:16:36.082Z	37	36	914	915
2022-01-27T12:16:56.082Z	19	18	898	899
2022-01-27T12:17:16.082Z	7	6	881	881
2022-01-27T12:17:36.082Z	1	1	862	863
2022-01-27T12:17:56.082Z	1	1	843	843
2022-01-27T12:18:16.082Z	8	7	822	821
2022-01-27T12:18:36.082Z	20	19	800	799
2022-01-27T12:18:56.081Z	39	38	778	777
2022-01-27T12:19:16.082Z	63	64	755	754
2022-01-27T12:19:36.082Z	92	93	731	729
2022-01-27T12:19:56.083Z	126	128	703	705
2022-01-27T12:20:16.083Z	165	167	678	679
2022-01-27T12:20:36.085Z	208	210	652	653
2022-01-27T12:20:56.085Z	254	256	626	627
2022-01-27T12:21:16.085Z	308	306	599	600
2022-01-27T12:21:36.086Z	360	358	572	573
2022-01-27T12:21:56.087Z	414	411	544	543
2022-01-27T12:22:16.088Z	468	466	517	515
2022-01-27T12:22:36.089Z	523	521	489	488
2022-01-27T12:22:56.090Z	578	581	462	460
2022-01-27T12:23:16.091Z	632	634	434	433
2022-01-27T12:23:36.092Z	684	687	405	406
2022-01-27T12:23:56.093Z	734	736	378	379
2022-01-27T12:24:16.092Z	781	783	351	352
2022-01-27T12:24:36.094Z	825	827	325	326
2022-01-27T12:24:56.093Z	868	867	300	301
2022-01-27T12:25:16.093Z	903	902	275	276
2022-01-27T12:25:36.094Z	933	932	250	249
2022-01-27T12:25:56.093Z	958	957	227	226
2022-01-27T12:26:16.094Z	977	977	204	203
2022-01-27T12:26:36.095Z	991	991	183	182
2022-01-27T12:26:56.096Z	998	999	162	161
2022-01-27T12:27:16.096Z	1000	1000	140	141
2022-01-27T12:27:36.097Z	995	995	122	122
2022-01-27T12:27:56.097Z	985	984	104	105
2022-01-27T12:28:16.098Z	968	967	88	89
2022-01-27T12:28:36.099Z	944	945	73	74
2022-01-27T12:28:56.099Z	916	917	59	59
2022-01-27T12:29:16.101Z	882	884	47	46
2022-01-27T12:29:36.100Z	845	846	36	36
2022-01-27T12:29:56.100Z	803	805	26	26
2022-01-27T12:30:16.101Z	757	755	18	18
2022-01-27T12:30:36.102Z	708	706	12	11
2022-01-27T12:30:56.103Z	657	655	6	6
2022-01-27T12:31:16.173Z	603	601	3	3
2022-01-27T12:31:36.174Z	549	546	1	1
2022-01-27T12:31:56.174Z	494	491	0	0
2022-01-27T12:32:16.174Z	439	436	1	1
2022-01-27T12:32:36.175Z	380	382	4	3
2022-01-27T12:32:56.175Z	327	329	8	7
2022-01-27T12:33:16.176Z	277	279	13	13
2022-01-27T12:33:36.176Z	229	231	20	21
2022-01-27T12:33:56.177Z	184	186	29	29
2022-01-27T12:34:16.179Z	143	145	39	39
2022-01-27T12:34:36.179Z	107	105	50	50
2022-01-27T12:34:56.180Z	75	74	63	63
2022-01-27T12:35:16.180Z	49	48	78	77
2022-01-27T12:35:36.180Z	28	27	93	93
2022-01-27T12:35:56.183Z	13	12	110	109
2022-01-27T12:36:16.184Z	3	3	128	127
2022-01-27T12:36:36.184Z	0	0	147	146
2022-01-27T12:36:56.183Z	3	3	167	168
2022-01-27T12:37:16.186Z	13	12	188	189
2022-01-27T12:37:36.185Z	28	27	210	211
2022-01-27T12:37:56.185Z	49	48	233	234
