time	1-tT	1-T	2-tT	2-T
2023-06-27T20:50:25.142Z	0	0	0	0
2023-06-27T20:50:30.142Z	0	0	0	0
2023-06-27T20:51:05.150Z	365	365	333	333
2023-06-27T20:52:02.727Z	365	366	333	333
2023-06-27T20:52:22.730Z	397	398	350	349
2023-06-27T20:52:42.744Z	427	429	366	366
2023-06-27T20:53:02.758Z	458	458	382	382
2023-06-27T20:53:22.772Z	485	485	398	397
2023-06-27T20:53:42.782Z	510	510	413	414
2023-06-27T20:54:02.786Z	533	532	428	429
2023-06-27T20:54:22.790Z	552	552	443	444
2023-06-27T20:54:42.801Z	568	568	458	458
2023-06-27T20:55:02.810Z	582	581	472	472
2023-06-27T20:55:22.821Z	591	592	485	485
2023-06-27T20:55:42.823Z	597	598	498	498
2023-06-27T20:56:02.826Z	600	600	510	510
2023-06-27T20:56:22.830Z	599	599	522	522
2023-06-27T20:56:42.841Z	594	594	533	532
2023-06-27T20:57:02.849Z	585	585	543	543
2023-06-27T20:57:22.855Z	573	573	552	552
2023-06-27T20:57:42.856Z	558	558	561	561
2023-06-27T20:58:02.863Z	539	539	569	569
2023-06-27T20:58:22.870Z	518	517	576	576
2023-06-27T20:58:42.882Z	494	492	582	582
2023-06-27T20:59:02.897Z	467	466	587	587
2023-06-27T20:59:22.907Z	437	437	592	591
2023-06-27T21:00:04.901Z	365	366	333	333
2023-06-27T21:00:24.908Z	397	398	349	349
2023-06-27T21:00:44.922Z	429	429	366	366
2023-06-27T21:01:04.926Z	458	458	382	382
2023-06-27T21:01:24.932Z	485	485	398	397
2023-06-27T21:01:44.945Z	510	510	413	414
2023-06-27T21:02:04.948Z	533	532	428	429
