time	1-tT	1-T	2-tT	2-T
2023-07-25T20:54:37.634Z	0	0	0	0
2023-07-25T20:54:42.634Z	0	0	0	0
2023-07-25T20:55:17.648Z	370	370	336	336
2023-07-25T20:55:37.659Z	402	402	352	352
2023-07-25T20:55:57.673Z	433	432	369	368
2023-07-25T20:56:17.676Z	462	463	385	384
2023-07-25T20:56:37.678Z	489	490	401	400
2023-07-25T20:56:57.678Z	513	514	416	416
2023-07-25T20:57:17.692Z	535	536	431	431
2023-07-25T20:57:37.698Z	555	555	446	446
2023-07-25T20:58:45.038Z	365	365	333	333
2023-07-25T20:59:05.050Z	397	397	350	349
2023-07-25T20:59:25.058Z	428	429	366	366
2023-07-25T21:00:14.812Z	365	365	333	333
2023-07-25T21:00:34.826Z	397	397	350	350
2023-07-25T21:00:54.837Z	428	427	366	366
