time	1-tT	1-T	2-tT	2-T
2023-06-29T20:57:26.899Z	0	0	0	0
2023-06-29T20:57:31.899Z	0	0	0	0
2023-06-29T20:58:06.911Z	368	367	334	333
2023-06-29T20:58:26.918Z	399	399	350	351
2023-06-29T20:58:46.923Z	430	430	366	367
2023-06-29T20:59:06.933Z	459	459	383	383
2023-06-29T20:59:26.940Z	486	486	399	399
2023-06-29T20:59:46.952Z	511	511	415	414
2023-06-29T21:00:06.966Z	533	534	430	429
2023-06-29T21:00:26.969Z	553	553	444	444
2023-06-29T21:00:46.979Z	570	570	459	458
2023-06-29T21:01:06.990Z	583	582	473	472
2023-06-29T21:01:27.005Z	592	592	486	486
2023-06-29T21:01:47.017Z	598	598	499	498
2023-06-29T21:02:07.019Z	600	600	511	511
2023-06-29T21:02:27.025Z	598	599	522	523
2023-06-29T21:02:47.027Z	593	593	533	534
